2025-10-30 19:04:20,202 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 19:09:28,602 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 19:12:26,031 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 19:13:06,830 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 19:13:33,922 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 19:14:08,432 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 19:14:32,193 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 19:18:14,382 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 19:21:58,189 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 19:25:22,856 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 19:32:15,196 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 19:34:48,787 | INFO     | LatencyMonitor | Settings applied at startup (path=/home/fran/Desktop/Paarchen/latency-monitor/src/lm/ui/settings.json exists=False)
2025-10-30 19:35:35,858 | INFO     | LatencyMonitor | Paused
2025-10-30 19:35:35,859 | INFO     | LatencyMonitor | Resumed
2025-10-30 19:35:35,862 | INFO     | LatencyMonitor | Paused
2025-10-30 19:35:35,864 | INFO     | LatencyMonitor | Resumed
2025-10-30 19:35:35,866 | INFO     | LatencyMonitor | Paused
2025-10-30 19:35:35,869 | INFO     | LatencyMonitor | Resumed
2025-10-30 19:35:35,870 | INFO     | LatencyMonitor | Paused
2025-10-30 19:35:35,875 | INFO     | LatencyMonitor | Resumed
2025-10-30 19:35:35,878 | INFO     | LatencyMonitor | Paused
2025-10-30 19:35:39,022 | INFO     | LatencyMonitor | Resumed
2025-10-30 19:35:39,251 | INFO     | LatencyMonitor | Paused
2025-10-30 19:35:39,456 | INFO     | LatencyMonitor | Resumed
2025-10-30 19:35:39,969 | INFO     | LatencyMonitor | Paused
